sampno,vehno,vehicle_num,num_hh_vehicles,veh_year,veh_make,veh_make_other,veh_make_clean,veh_model,veh_model_other,veh_model_clean,fuel,fuel_clean,veh_type,veh_type_clean,vehicle_status,flag_hev,flag_phev,flag_fcev,flag_bev,obtain,company_car,current_acquired_year,current_acquired_month,annual_mileage,electric_percent,tnc_veh,tnc_miles,delivery,delivery_miles,mpg,replace_intent,current_primary_driver,primary_driver_id,company_acquired_year,fuel_pay,personal_miles,business_miles,company_primary_driver,company_primary_driver_id,other_drivers,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5
193002,193002.v04,4,4,2016,MAZDA, ,MAZDA,,,,1,1,2,2, ,0,0,0,0,3, ,2019,2,5000, ,2, ,2, ,35,4,2,193002.p02, , , , , , , , , , , , 
193009,193009.v01,1,2,2018,HONDA, ,HONDA,,,,1,1,8,8, ,0,0,0,0,1, ,2018,12,50000, ,2, ,2, ,40,3,2,193009.p02, , , , , , , , , , , , 
193012,193012.v01,1,2,2012,TOYOTA, ,TOYOTA,,,,2,2,3,3, ,1,0,0,0,3, ,2015, ,10000, ,2, ,2, ,50,2,1,193012.p01, , , , , , , , , , , , 
193005,193005.v01,1,1,2017,AUDI, ,AUDI,,,,1,1,2,2, ,0,0,0,0,2, ,2019,2,33, ,1,33,2, ,33,3,1,193005.p01, , , , , , , , , , , , 
193016,193016.v01,1,2,2012,TOYOTA, ,TOYOTA,,,,1,1,3,3, ,0,0,0,0,1, ,2013, ,8000, ,2, ,2, ,27,6,1,193016.p01, , , , , , , , , , , , 
193025,193025.v02,2,2,2008,FORD, ,FORD,,,,1,1,5,5, ,0,0,0,0,1, ,2009, ,25000, ,2, ,2, ,28,6,3,193025.p03, , , , , , , , , , , , 
193027,193027.v02,2,2,2000,CHEVROLET, ,CHEVROLET,,,,1,1,13,13, ,0,0,0,0,1, ,2001, ,500, ,2, ,2, ,11,3,2,193027.p02, , , , , , , , , , , , 
193019,193019.v01,1,2,2008,MERCEDES-BENZ, ,MERCEDES-BENZ,,,,1,1,3,3, ,0,0,0,0,3, ,2010, ,5000, ,2, ,2, ,27,6,1,193019.p01, , , , , , , , , , , , 
193034,193034.v01,1,1,1990,NISSAN, ,NISSAN,,,,1,1,12,12, ,0,0,0,0,1, ,1990, ,1000, ,2, ,2, ,28,4,1,193034.p01, , , , , , , , , , , , 
193032,193032.v02,2,2,2013,TOYOTA, ,TOYOTA,,,,2,2,3,3, ,1,0,0,0,1, ,2013, ,12000, ,2, ,2, ,54,4,1,193032.p01, , , , , , , , , , , , 
193035,193035.v01,1,2,2019,TOYOTA, ,TOYOTA,,,,1,1,6,6, ,0,0,0,0,1, ,2019,5,15000, ,2, ,2, ,27,4,1,193035.p01, , , , , , , , , , , , 
193039,193039.v02,2,2,2008,HONDA, ,HONDA,,,,1,1,3,3, ,0,0,0,0,1, ,2008, ,6000, ,2, ,2, ,30,3,2,193039.p02, , , , , , , , , , , , 
193078,193078.v01,1,2,2013,FORD, ,FORD,,,,3,3,3,3, ,0,1,0,0,1, ,2013, ,11000,75,2, ,2, ,100,2,1,193078.p01, , , , , , , , , , , , 
193036,193036.v02,2,2,2001,GMC, ,GMC,,,,1,1,13,13, ,0,0,0,0,3, ,2014, ,1000, ,2, ,2, ,10,3,2,193036.p02, , , , , , , , , , , , 
193037,193037.v01,1,2,2017,ACURA, ,ACURA,,,,1,1,6,6, ,0,0,0,0,1, ,2017, ,8000, ,2, ,2, ,22,3,1,193037.p01, , , , , , , , , , , , 
193042,193042.v02,2,3,2015,KIA, ,KIA,,,,1,1,8,8, ,0,0,0,0,3, ,2015, ,15000, ,2, ,2, ,17,2,1,193042.p01, , , , , , , , , , , , 
193060,193060.v01,1,1,2008,KIA, ,KIA,,,,1,1,2,2, ,0,0,0,0,3, ,2010, ,180000, ,2, ,2, ,30,4,1,193060.p01, , , , , , , , , , , , 
193050,193050.v02,2,2,2012,SCION, ,SCION,,,,1,1,2,2, ,0,0,0,0,3, ,2016, ,3000, ,2, ,2, ,22,6,1,193050.p01, , , , , , , , , , , , 
193054,193054.v01,1,2,2015,TOYOTA, ,TOYOTA,,,,2,2,3,3, ,1,0,0,0,1, ,2015, ,7500, ,2, ,2, ,39,4,1,193054.p01, , , , , , , , , , , , 
193064,193064.v01,1,3,2005,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,1, ,2005, ,3500, ,2, ,2, ,30,1,2,193064.p02, , , , , , , , , , , , 
193053,193053.v03,3,3,2004,TOYOTA, ,TOYOTA,,,,1,1,4,4, ,0,0,0,0,6, ,2012, ,10000, ,2, ,2, ,18,2,3,193053.p03, , , , , , , , , , , , 
193058,193058.v02,2,2,2018,NISSAN, ,NISSAN,,,,1,1,3,3, ,0,0,0,0,1, ,2018,1,5000, ,2, ,2, ,35,5,2,193058.p02, , , , , , , , , , , , 
193072,193072.v01,1,3,2010,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,1, ,2010, ,5000, ,2, ,2, ,29,3,2,193072.p02, , , , , , , , , , , , 
193061,193061.v02,2,2,2003,TOYOTA, ,TOYOTA,,,,1,1,10,10, ,0,0,0,0,3, ,2004, ,4000, ,2, ,2, ,30,6,2,193061.p02, , , , , , , , , , , , 
